LocationType,Location,TimeFrame,DataFormat,Data
County,Cheatham,2015,Number,616
County,Cheatham,2015,Percent,0.27636
County,Cheatham,2014,Number,603
County,Cheatham,2014,Percent,0.2686
County,Cheatham,2013,Number,752
County,Cheatham,2013,Percent,0.33843
County,Cheatham,2012,Number,818
County,Cheatham,2012,Percent,0.35107
County,Cheatham,2011,Number,826
County,Cheatham,2011,Percent,0.34648
County,Cheatham,2010,Number,903
County,Cheatham,2010,Percent,0.36872
County,Cheatham,2016,Number,578
County,Cheatham,2016,Percent,0.25496
County,Cheatham,2017,Number,543
County,Cheatham,2017,Percent,0.23185
County,Cheatham,2018,Number,575
County,Cheatham,2018,Percent,0.24625
County,Cheatham,2019,Number,498
County,Cheatham,2019,Percent,0.21328
County,Chester,1999,Percent,0.253
County,Chester,2000,Percent,0.243
County,Chester,2001,Percent,0.211
County,Chester,2002,Percent,0.225
County,Chester,2003,Percent,0.214
County,Chester,2004,Percent,0.196
County,Chester,2005,Percent,0.213
County,Chester,2006,Percent,0.212
County,Chester,2007,Percent,0.23885
County,Chester,2008,Percent,0.27262
County,Chester,1999,Number,280
County,Chester,2000,Number,272
County,Chester,2001,Number,268
County,Chester,2002,Number,290
County,Chester,2003,Number,280
County,Chester,2004,Number,259
County,Chester,2005,Number,287
County,Chester,2006,Number,287
County,Chester,2007,Number,273
County,Chester,2008,Number,315
County,Chester,2009,Number,334
County,Chester,2009,Percent,0.2872
County,Chester,2015,Number,435
County,Chester,2015,Percent,0.48549
County,Chester,2014,Number,427
County,Chester,2014,Percent,0.49942
County,Chester,2013,Number,472
County,Chester,2013,Percent,0.54503
County,Chester,2012,Number,472
County,Chester,2012,Percent,0.5382
County,Chester,2011,Number,472
County,Chester,2011,Percent,0.50374
County,Chester,2010,Number,480
County,Chester,2010,Percent,0.49434
County,Chester,2016,Number,405
County,Chester,2016,Percent,0.41538
County,Chester,2017,Number,395
County,Chester,2017,Percent,0.42066
County,Chester,2018,Number,442
County,Chester,2018,Percent,0.46822
County,Chester,2019,Number,390
County,Chester,2019,Percent,0.41314
County,Claiborne,1999,Percent,0.468
County,Claiborne,2000,Percent,0.408
County,Claiborne,2001,Percent,0.447
County,Claiborne,2002,Percent,0.448
County,Claiborne,2003,Percent,0.426
County,Claiborne,2004,Percent,0.422
County,Claiborne,2005,Percent,0.416
County,Claiborne,2006,Percent,0.414
County,Claiborne,2007,Percent,0.3936
County,Claiborne,2008,Percent,0.38618
County,Claiborne,1999,Number,1060
County,Claiborne,2000,Number,936
County,Claiborne,2001,Number,938
County,Claiborne,2002,Number,936
County,Claiborne,2003,Number,892
County,Claiborne,2004,Number,885
County,Claiborne,2005,Number,876
County,Claiborne,2006,Number,875
County,Claiborne,2007,Number,849
County,Claiborne,2008,Number,838
County,Claiborne,2009,Number,835
County,Claiborne,2009,Percent,0.3832
County,Claiborne,2015,Number,813
County,Claiborne,2015,Percent,0.52758
County,Claiborne,2014,Number,824
County,Claiborne,2014,Percent,0.55414
County,Claiborne,2013,Number,908
County,Claiborne,2013,Percent,0.60533
County,Claiborne,2012,Number,945
County,Claiborne,2012,Percent,0.58696
County,Claiborne,2011,Number,939
County,Claiborne,2011,Percent,0.58798
County,Claiborne,2010,Number,1050
County,Claiborne,2010,Percent,0.63521
County,Claiborne,2016,Number,786
County,Claiborne,2016,Percent,0.50256
County,Claiborne,2017,Number,728
County,Claiborne,2017,Percent,0.46727
County,Claiborne,2018,Number,757
County,Claiborne,2018,Percent,0.4779
County,Claiborne,2019,Number,628
County,Claiborne,2019,Percent,0.39646
County,Clay,1999,Percent,0.443
County,Clay,2000,Percent,0.444
County,Clay,2001,Percent,0.453
County,Clay,2002,Percent,0.473
County,Clay,2003,Percent,0.44
County,Clay,2004,Percent,0.406
County,Clay,2005,Percent,0.426
County,Clay,2006,Percent,0.422
County,Clay,2007,Percent,0.38869
County,Clay,2008,Percent,0.38714
County,Clay,1999,Number,218
County,Clay,2000,Number,220
County,Clay,2001,Number,223
County,Clay,2002,Number,238
County,Clay,2003,Number,225
County,Clay,2004,Number,207
County,Clay,2005,Number,220
County,Clay,2006,Number,221
County,Clay,2007,Number,220
County,Clay,2008,Number,222
County,Clay,2009,Number,256
County,Clay,2009,Percent,0.4443
County,Clay,2015,Number,269
County,Clay,2015,Percent,0.71353
County,Clay,2014,Number,273
County,Clay,2014,Percent,0.65311
County,Clay,2013,Number,313
County,Clay,2013,Percent,0.74347
County,Clay,2012,Number,321
County,Clay,2012,Percent,0.71652
County,Clay,2011,Number,340
County,Clay,2011,Percent,0.72805
County,Clay,2010,Number,337
